key	grade	label	bucket	checks
atomic_mem.oper_reg_hi	EMIT	hardware-run	SUPPORTED	check_0141
atomic_rmw.amode_hi	EMIT	hardware-run	SUPPORTED	check_0141
atomic_rmw.idx_off	EMIT	hardware-run	SUPPORTED	check_0141
atomic_rmw.index_reg	EMIT	hardware-run	SUPPORTED	check_0141
atomic_rmw.oper_reg_hi	EMIT	hardware-run	SUPPORTED	check_0141
atomic_rmw.oper_reg_lo	EMIT	hardware-run	SUPPORTED	check_0141
atomic_rmw.ret_desc	EMIT	hardware-run	SUPPORTED	check_0141
atomic_rmw.ret_flag	EMIT	hardware-run	SUPPORTED	check_0141
atomic_rmw.rsv10	EMIT	hardware-run	SUPPORTED	check_0141
atomic_rmw.rsv11	EMIT	hardware-run	SUPPORTED	check_0141
carry_gen.srcB	EMIT	hardware-run	SUPPORTED	check_misc
copysign.operands	OTHER	untested	SUPPORTED	check_e0189_nonzero
cvt_bf16.b5	EMIT	hardware-run	SUPPORTED	check_0162
cvt_bf16.b7	EMIT	hardware-run	SUPPORTED	check_0162
cvt_bf16.dir	EMIT	hardware-run	SUPPORTED	check_0162
cvt_bf16.dst	EMIT	hardware-run	SUPPORTED	check_0162
cvt_bf16.opsel	EMIT	hardware-run	SUPPORTED	check_0162
cvt_bf16.srcw	EMIT	hardware-run	SUPPORTED	check_0162
cvt_f2h_dst.dhalf	EMIT	hardware-run	SUPPORTED	check_0162
cvt_f2h_dst.opsel	EMIT	hardware-run	SUPPORTED	check_0162
cvt_f2h_dst.src	EMIT	hardware-run	SUPPORTED	check_0162
cvt_f2h_dst.srcfmt	EMIT	hardware-run	SUPPORTED	check_0162
cvt_f2h_dst.tail	EMIT	hardware-run	SUPPORTED	check_0162
falu2_ext.ctrl	OTHER	untested	SUPPORTED	check_e0189_nonzero
falu2_ext.mod_hi	EMIT	hardware-run	SUPPORTED	check_0138
falu2_ext.srcB_neg	EMIT	hardware-run	SUPPORTED	check_misc
falu2_srcmod10.mod_hi	EMIT	hardware-run	SUPPORTED	check_0138
falu3._instruction	EMIT_INSTR	hardware-run	SUPPORTED	check_misc
falu3.op	OTHER	untested	SUPPORTED	check_e0189_nonzero
falu3_ext._instruction	EMIT_INSTR	hardware-run	SUPPORTED	check_misc
falu3_ext.op	OTHER	untested	SUPPORTED	check_e0189_nonzero
falu3_srcmod12.mod_hi	EMIT	hardware-run	SUPPORTED	check_0138
falu_srcmod12b.dst	EMIT	hardware-run	SUPPORTED	check_0138
frag_color_store.flags	EMIT	hardware-run	SUPPORTED	check_0155
frag_depth_store._instruction	OTHER	corpus-correlation	INSTRUMENT-LIMITED	check_misc
fspecial.dst	EMIT	hardware-run	SUPPORTED	check_fspecial
fspecial.fnclass	EMIT	hardware-run	SUPPORTED	check_fspecial
fspecial.roundmode	EMIT	hardware-run	SUPPORTED	check_fspecial
fspecial.src	EMIT	hardware-run	SUPPORTED	check_fspecial
fspecial_est.srcA	OTHER	untested	SUPPORTED	check_e0189_nonzero
funary.mod	OTHER	corpus-correlation	SUPPORTED	check_misc
get_sr.dst_hi	OTHER	untested	SUPPORTED	check_e0189_nonzero
h_coord_hi.ctrl	EMIT	hardware-run	SUPPORTED	check_0157
h_coord_hi.dst	EMIT	hardware-run	SUPPORTED	check_0157
h_coord_hi.mods	EMIT	hardware-run	SUPPORTED	check_0157
h_coord_hi.opsel	EMIT	hardware-run	SUPPORTED	check_0157
h_coord_hi.srcA	EMIT	hardware-run	SUPPORTED	check_0157
h_coord_hi.srcB	EMIT	hardware-run	SUPPORTED	check_0157
h_coord_hi_ext.dst	EMIT	hardware-run	SUPPORTED	check_0157
h_coord_hi_ext.ext	OTHER	untested	SUPPORTED	check_e0189_nonzero
h_coord_hi_ext.opsel	EMIT	hardware-run	SUPPORTED	check_0157
h_coord_hi_ext.srcA	EMIT	hardware-run	SUPPORTED	check_0157
h_coord_hi_ext.srcB	OTHER	untested	SUPPORTED	check_e0189_nonzero
h_coord_hi_ext.srcC	EMIT	hardware-run	SUPPORTED	check_0157
h_coord_hi_ext.tail	OTHER	untested	SUPPORTED	check_e0189_nonzero
half_alu_fma12._instruction	EMIT_INSTR	hardware-run	INSTRUMENT-LIMITED	check_misc
iadd2.addsub	OTHER	untested	SUPPORTED	check_e0189_nonzero
iadd2.lenbit	EMIT	hardware-run	SUPPORTED	check_0139
iadd2.srcB_imm	OTHER	untested	SUPPORTED	check_e0189_nonzero
iadd2.srcB_reg_hi	OTHER	untested	SUPPORTED	check_e0189_nonzero
ibfe.b4	EMIT	hardware-run	SUPPORTED	check_0139
ibfe.b7	EMIT	hardware-run	SUPPORTED	check_0139
ibfe.lenhi	EMIT	isolated-byte-diff	SUPPORTED	check_0139
ibfe.srcC_flags	EMIT	isolated-byte-diff	SUPPORTED	check_0139
ibfe.width_lo	EMIT	isolated-byte-diff	SUPPORTED	check_0139
ibfins.b4	EMIT	hardware-run	SUPPORTED	check_0139
ibfins.form	EMIT	isolated-byte-diff	SUPPORTED	check_0139
ibfins.srcC	EMIT	isolated-byte-diff	SUPPORTED	check_0139
icmp_pred.cond	OTHER	untested	SUPPORTED	check_e0189_nonzero
icmp_pred.srcB	OTHER	untested	SUPPORTED	check_0139
icmpsel.dst	EMIT	isolated-byte-diff	SUPPORTED	check_0139
icmpsel.dst_full	OTHER	untested	SUPPORTED	check_0139
icmpsel.fmt	EMIT	isolated-byte-diff	SUPPORTED	check_0139
icmpsel.mark0	EMIT	isolated-byte-diff	SUPPORTED	check_0139
if_push.scope	OTHER	single-template-inference	SUPPORTED	check_misc
if_push.scope_kind	EMIT	hardware-run	SUPPORTED	check_0140
ilogic.dst	OTHER	untested	SUPPORTED	check_e0189_nonzero
ilogic.lut_a_free	OTHER	untested	SUPPORTED	check_e0189_nonzero
